"Account Number: XXXXXXXXXXXX0001 AED",
"Statement Period: From 22/05/2026 to 08/08/2026",
"Account Name(s): SAMPLE ACCOUNT HOLDER",
"Account Status: ACTIVE",
"Opening Balance: 6,160.82 AED",
"Closing Balance: 3,132.49 AED",
Posting Date,Value Date,Reference No,Description,Debit Amount,Credit Amount,Balance
"22/05/2026 06:26:05","22/05/2026","407","SALARY","0.00","41740.76","47901.58",
"22/05/2026 11:41:53","22/05/2026","57642196742","34291684175 MBTRF AED6500 TRF OUT TO Sample Holder","6500","0.00","41401.58",
"22/05/2026 12:52:23","22/05/2026","34296973243","CREDIT CARD PAYMNT XXXXXXXXXXXX5178","525.7","0.00","40875.88",
"22/05/2026 12:53:07","22/05/2026","34297024501","CREDIT CARD PAYMNT XXXXXXXXXXXX0144","17136.7","0.00","23739.18",
"22/05/2026 21:05:34","22/05/2026","16778812614200V3","LOANRECOVERY-EMI:XXXXXXXXP001001","3563","0.00","20176.18",
"26/05/2026 13:51:58","26/05/2026","57758573839","34486354202 MBTRF AED9111.78 TRF OUT TO Sample Holder","9111.78","0.00","11064.4",
"30/05/2026 10:22:02","30/05/2026","0490821261500259","46800000612025000005586000014","2499","0.00","8565.4",
"30/05/2026 10:22:07","30/05/2026","049082b261500054","76800000772025000004048000014","100","0.00","8465.4",
"03/06/2026 11:47:48","03/06/2026","57937018480","34789648012 MBTRF AED629.79 TRF OUT TO Sample Payee","629.79","0.00","7835.61",
"22/06/2026 13:52:18","22/06/2026","58408299638","35620467299 MBTRF AED150 TRF OUT TO Sample Recipient","150","0.00","7685.61",
"25/06/2026 06:17:03","25/06/2026","66","SALARY","0.00","41740.76","49426.37",
"25/06/2026 07:08:51","25/06/2026","35739899224","CREDIT CARD PAYMNT XXXXXXXXXXXX0144","3674.93","0.00","45751.44",
